Time,TranPPV,TranFreq,VertPPV,VertFreq,LongPPV,LongFreq,GeophonePVS
4/24/2018 15:30,0.004,1,0.002,42.7,0.003,9.5,0.004
4/24/2018 15:35,0.003,1,0.003,56.9,0.003,11.6,0.004
4/24/2018 15:40,0.003,2.3,0.002,42.7,0.003,17.1,0.004
4/24/2018 15:45,0.003,3,0.002,34.1,0.003,5.7,0.004
4/24/2018 15:50,0.003,4,0.002,51.2,0.003,21.3,0.004
4/24/2018 15:55,0.004,5.6,0.005,8.7,0.004,3.6,0.005
4/24/2018 16:00,0.003,1.9,0.003,17.7,0.003,7.1,0.004
4/24/2018 16:05,0.003,26.9,0.003,18.3,0.003,4,0.004
4/24/2018 16:10,0.004,2.6,0.003,7.9,0.003,4.1,0.004
4/24/2018 16:15,0.003,3.4,0.003,26.9,0.003,21.3,0.004
4/24/2018 16:20,0.004,1.5,0.003,39.4,0.003,34.1,0.004
4/24/2018 16:25,0.003,2.2,0.003,51.2,0.003,5.6,0.004
4/24/2018 16:30,0.004,6.2,0.003,13.5,0.003,9.7,0.004
4/24/2018 16:35,0.004,2.4,0.003,10.4,0.003,8,0.004
4/24/2018 16:40,0.003,1,0.003,32,0.003,6.9,0.004
4/24/2018 16:45,0.004,2.4,0.003,12.8,0.003,16,0.004
4/24/2018 16:50,0.003,3.5,0.003,17.7,0.003,6.7,0.004
4/24/2018 16:55,0.003,2.5,0.003,11.9,0.003,9.5,0.004
4/24/2018 17:00,0.003,1,0.003,16.5,0.003,26.9,0.004
4/24/2018 17:05,0.004,1.5,0.003,51.2,0.003,7.2,0.004
4/24/2018 17:10,0.003,1.5,0.003,34.1,0.003,4.3,0.004
4/24/2018 17:15,0.003,3.8,0.003,46.5,0.003,8.5,0.004
4/24/2018 17:20,0.003,1.4,0.003,20.5,0.003,15.1,0.004
4/24/2018 17:25,0.004,<1,0.002,39.4,0.003,13.5,0.004
4/24/2018 17:30,0.003,7.3,0.003,9,0.003,7.3,0.004
4/24/2018 17:35,0.003,1.5,0.003,56.9,0.003,19.7,0.004
4/24/2018 17:40,0.003,1.2,0.002,>100,0.003,2.8,0.004
4/24/2018 17:45,0.003,<1,0.002,56.9,0.003,4.8,0.004
4/24/2018 17:50,0.003,2.2,0.002,34.1,0.003,25.6,0.004
4/24/2018 17:55,0.003,1.4,0.003,8.3,0.003,12.5,0.004
4/24/2018 18:00,0.004,1.8,0.003,12.2,0.003,6.6,0.004
4/24/2018 18:05,0.003,2.7,0.002,73.1,0.003,5.6,0.004
4/24/2018 18:10,0.004,<1,0.003,85.3,0.003,10.2,0.004
4/24/2018 18:15,0.003,1.6,0.003,64,0.003,21.3,0.004
4/24/2018 18:20,0.003,<1,0.003,7.6,0.003,5.5,0.004
4/24/2018 18:25,0.003,<1,0.003,64,0.003,15.5,0.004
4/24/2018 18:30,0.003,1.2,0.003,42.7,0.003,73.1,0.004
4/24/2018 18:35,0.003,1.8,0.005,51.2,0.002,>100,0.005
4/24/2018 18:40,0.003,<1,0.002,51.2,0.002,10,0.004
4/24/2018 18:45,0.003,<1,0.003,56.9,0.002,73.1,0.004
4/24/2018 18:50,0.003,<1,0.003,51.2,0.003,9.1,0.004
4/24/2018 18:55,0.003,2.8,0.002,56.9,0.003,13.8,0.004
4/24/2018 19:00,0.003,5.1,0.003,14.2,0.003,8.1,0.004
4/24/2018 19:05,0.003,1.3,0.003,51.2,0.003,10,0.004
4/24/2018 19:10,0.003,1.4,0.003,8.7,0.003,8.8,0.004
4/24/2018 19:15,0.003,1.8,0.003,64,0.003,85.3,0.004
4/24/2018 19:20,0.003,4.2,0.002,>100,0.003,18.3,0.004
4/24/2018 19:25,0.004,<1,0.002,39.4,0.003,8,0.004
4/24/2018 19:30,0.003,1.9,0.004,85.3,0.003,21.3,0.005
4/24/2018 19:35,0.003,2.2,0.002,42.7,0.003,15.5,0.004
4/24/2018 19:40,0.003,1.5,0.002,73.1,0.003,4.3,0.004
4/24/2018 19:45,0.003,1.2,0.002,>100,0.004,6.6,0.004
4/24/2018 19:50,0.003,1.8,0.002,64,0.003,9.8,0.004
4/24/2018 19:55,0.003,1.1,0.003,18.3,0.003,21.3,0.004
4/24/2018 20:00,0.003,1.2,0.004,10.2,0.003,5.3,0.005
4/24/2018 20:05,0.003,1.6,0.003,>100,0.002,39.4,0.004
4/24/2018 20:10,0.003,1.5,0.003,14.6,0.003,25.6,0.004
4/24/2018 20:15,0.003,4.8,0.002,64,0.003,10.2,0.004
4/24/2018 20:20,0.003,2.5,0.002,46.5,0.003,28.4,0.004
4/24/2018 20:25,0.004,<1,0.002,85.3,0.003,10.9,0.004
4/24/2018 20:30,0.004,4.9,0.002,32,0.002,22.3,0.004
4/24/2018 20:35,0.003,1.8,0.004,10,0.003,4.3,0.004
4/24/2018 20:40,0.003,3.4,0.002,42.7,0.003,11.6,0.004
4/24/2018 20:45,0.003,1.2,0.002,73.1,0.002,9.8,0.004
4/24/2018 20:50,0.003,2.3,0.002,64,0.003,25.6,0.004
4/24/2018 20:55,0.004,1.3,0.003,56.9,0.003,17.7,0.004
4/24/2018 21:00,0.003,<1,0.002,16,0.003,15.5,0.004
4/24/2018 21:05,0.003,1.6,0.002,85.3,0.003,21.3,0.004
4/24/2018 21:10,0.003,<1,0.002,56.9,0.002,23.3,0.004
4/24/2018 21:15,0.004,<1,0.002,64,0.002,46.5,0.004
4/24/2018 21:20,0.003,<1,0.002,51.2,0.003,14.2,0.004
4/24/2018 21:25,0.003,2.9,0.002,64,0.002,14.6,0.004
4/24/2018 21:30,0.003,2.5,0.002,>100,0.003,4.4,0.004
4/24/2018 21:35,0.004,2.9,0.002,>100,0.003,22.3,0.004
4/24/2018 21:40,0.003,<1,0.002,73.1,0.003,36.6,0.004
4/24/2018 21:45,0.003,1,0.002,>100,0.003,19.7,0.004
4/24/2018 21:50,0.003,2.3,0.002,64,0.003,64,0.004
4/24/2018 21:55,0.003,5.6,0.002,73.1,0.003,6,0.004
4/24/2018 22:00,0.003,1.5,0.003,15.5,0.003,16.5,0.004
4/24/2018 22:05,0.003,1.6,0.002,73.1,0.002,16.5,0.004
4/24/2018 22:10,0.003,1.1,0.002,17.7,0.003,25.6,0.004
4/24/2018 22:15,0.003,1.9,0.002,>100,0.002,>100,0.004
4/24/2018 22:20,0.003,<1,0.003,16.5,0.003,26.9,0.004
4/24/2018 22:25,0.003,1,0.002,51.2,0.003,34.1,0.003
4/24/2018 22:30,0.004,<1,0.002,64,0.003,22.3,0.004
4/24/2018 22:35,0.003,1.9,0.002,>100,0.002,3.6,0.004
4/24/2018 22:40,0.003,1.8,0.002,56.9,0.002,22.3,0.004
